Date,Open,High,Low,Close,Volume
2013-06-30,22.5,24.66,22.46,24.49,75345663.0
2013-06-23,24.87,25.01,23.95,24.9,32964944.0
2013-06-16,28.79,28.82,28.07,28.12,12250994.0
2013-06-09,29.51,29.64,28.75,28.99,21214165.0
2013-06-02,29.61,29.85,29.13,29.5,20244242.0
2013-05-26,27.75,28.19,27.31,27.5,19892636.0
2013-05-19,27.14,27.19,26.36,26.38,23635462.0
2013-05-12,29.14,29.83,28.82,29.81,20015206.0
2013-05-05,29.61,30.28,29.46,29.69,14874372.0
2013-04-28,30.59,30.77,29.21,29.46,27489688.0
2013-04-21,28.69,28.96,27.87,28.59,22405075.0
2013-04-14,33.39,33.45,32.11,32.22,40557609.0
2013-04-07,35.65,35.99,34.83,35.06,21249684.0
2013-03-31,37.77,37.93,37.55,37.85,7673423.0
2013-03-24,38.13,38.55,37.99,38.16,10310451.0
2013-03-17,37.26,37.57,37.1,37.34,12571044.0
2013-03-10,36.57,37.58,36.32,37.11,23003393.0
2013-03-03,37.54,37.78,37.02,37.11,13136974.0
2013-02-24,38.22,38.46,37.72,37.93,11323444.0
2013-02-17,40.83,40.83,39.83,39.89,22896849.0
2013-02-10,42.57,42.77,42.31,42.32,5593671.0
2013-02-03,42.27,42.39,41.55,42.22,17064215.0
2013-01-27,42.95,43.06,41.9,41.92,35696891.0
2013-01-20,45.25,45.25,44.9,45.11,8142650.0
2013-01-13,45.34,45.49,44.89,45.4,12013809.0
2013-01-06,44.79,45.33,44.5,45.33,16826510.0
2012-12-30,45.29,45.68,44.88,44.93,10708814.0
2012-12-23,44.67,45.55,44.66,45.18,11377666.0
2012-12-16,46.15,46.75,45.96,46.48,12425707.0
2012-12-09,45.96,46.2,45.66,45.93,10047717.0
2012-12-02,47.76,48.28,47.06,47.55,11111253.0
2012-11-25,48.35,49.0,47.88,48.74,12737692.0
2012-11-18,45.9,46.76,45.35,46.47,6072979.0
2012-11-11,51.45,51.61,50.66,50.67,2503722.0
2012-11-04,51.3,51.4,49.74,49.76,6445378.0
2012-10-28,51.71,51.87,51.0,51.24,1947348.0
2012-10-21,51.32,51.99,50.76,51.73,4708576.0
2012-10-14,52.59,52.71,51.54,51.63,3182106.0
2012-10-07,54.0,54.64,53.43,53.65,3021326.0
2012-09-30,53.7,54.12,53.22,53.71,2100864.0
2012-09-23,55.0,55.25,54.31,54.81,3297251.0
2012-09-16,53.0,54.08,53.0,53.86,6274855.0
2012-09-09,50.25,50.72,50.08,50.46,4743657.0
2012-09-02,46.45,48.06,45.97,47.94,5414847.0
2012-08-26,47.33,47.77,47.06,47.54,2014606.0
2012-08-19,45.8,45.9,45.06,45.34,2097514.0
2012-08-12,44.46,44.9,44.36,44.85,1654614.0
2012-08-05,42.47,43.01,42.34,42.86,6836416.0
2012-07-29,43.05,43.29,42.41,43.13,3108793.0
2012-07-22,41.33,41.86,41.32,41.73,2049472.0
2012-07-15,42.06,42.5,41.75,42.31,3621657.0
2012-07-08,45.01,45.39,44.26,44.43,3901171.0
2012-07-01,44.91,45.08,44.14,44.77,3982722.0
2012-06-24,44.73,45.35,44.03,44.58,2788382.0
2012-06-17,47.0,47.1,46.56,46.92,3043362.0
2012-06-10,45.34,46.64,45.09,46.33,3406000.0
2012-06-03,44.84,46.87,44.79,46.66,8633929.0
2012-05-27,44.75,45.14,44.4,44.91,2998131.0
2012-05-20,42.16,42.8,41.44,41.62,4758153.0
2012-05-13,42.55,43.3,42.33,42.36,3003604.0
2012-05-06,43.85,44.74,43.79,44.05,2836429.0
2012-04-29,46.86,47.11,46.51,46.8,2249575.0
2012-04-22,46.79,47.05,46.1,46.12,2153337.0
2012-04-15,47.92,48.05,47.25,47.5,3096730.0
2012-04-08,46.96,47.08,46.0,46.2,2533722.0
2012-04-01,49.6,49.63,48.81,49.57,2581843.0
2012-03-25,49.08,50.06,48.83,49.77,3671607.0
2012-03-18,49.99,50.3,49.81,49.93,3288834.0
2012-03-11,52.95,53.94,52.64,53.24,2204793.0
2012-03-04,55.36,55.52,54.51,54.79,2645284.0
2012-02-26,57.15,57.29,56.19,56.46,2023404.0
2012-02-19,55.33,55.35,54.05,54.15,2873496.0
2012-02-12,54.51,54.84,54.08,54.49,2038600.0
2012-02-05,56.74,56.94,55.95,56.44,3299543.0
2012-01-29,55.78,57.36,55.75,57.14,3214725.0
2012-01-22,52.04,52.77,51.75,52.18,2096320.0
2012-01-15,54.89,55.45,54.32,54.05,0.0
2012-01-08,54.13,54.28,53.22,53.35,1639586.0
2012-01-01,49.51,51.2,49.22,51.43,0.0
2011-12-25,52.5,52.6,51.77,52.79,0.0
2011-12-18,52.41,53.18,52.05,52.68,3546259.0
2011-12-11,57.41,58.06,57.08,57.83,1904069.0
2011-12-04,60.75,60.86,58.07,58.07,3351911.0
2011-11-27,55.0,55.84,54.77,54.79,1408899.0
2011-11-20,58.11,58.55,56.77,57.06,2451800.0
2011-11-13,60.79,62.57,60.75,62.31,1965278.0
2011-11-06,61.16,61.46,59.94,61.3,1424745.0
2011-10-30,58.79,60.8,58.57,60.48,2742767.0
2011-10-23,54.18,54.55,53.45,53.98,2617838.0
2011-10-16,56.94,58.0,56.73,58.0,1986796.0
2011-10-09,56.64,56.85,54.23,54.88,3526585.0
2011-10-02,54.49,56.57,54.25,55.19,3996737.0
2011-09-25,57.44,57.83,54.95,56.36,5925686.0
2011-09-18,63.01,64.21,62.86,64.11,3177032.0
2011-09-11,65.99,66.97,65.32,65.8,2809954.0
2011-09-04,64.49,65.33,64.25,64.99,4047279.0
2011-08-28,61.17,62.57,59.59,62.48,2643141.0
2011-08-21,60.59,61.75,60.48,61.27,3122661.0
2011-08-14,59.2,59.48,58.24,59.2,2509092.0
2011-08-07,56.2,57.15,53.78,55.44,3660431.0
2011-07-31,57.85,57.89,56.76,56.94,3277831.0
2011-07-24,60.49,61.0,60.15,60.79,1413863.0
2011-07-17,59.1,59.73,58.93,59.72,1849743.0
2011-07-10,56.67,56.98,55.98,56.29,1543951.0
2011-07-03,54.66,54.84,54.05,53.75,0.0
2011-06-26,53.8,53.88,52.43,52.58,1710779.0
2011-06-19,51.84,52.7,51.58,51.96,2504452.0
2011-06-12,53.83,53.92,52.91,53.43,1945944.0
2011-06-05,56.35,56.96,56.01,56.49,2148167.0
2011-05-29,57.01,57.22,56.32,57.94,0.0
2011-05-22,55.61,56.51,54.55,55.69,5511909.0
2011-05-15,54.7,55.32,53.38,54.21,3893874.0
2011-05-08,56.86,57.67,55.96,56.09,2805372.0
2011-05-01,61.52,62.5,61.16,62.16,1351561.0
2011-04-24,62.36,63.1,62.07,62.61,0.0
2011-04-17,61.68,61.9,61.05,61.51,2288815.0
2011-04-10,63.58,64.14,63.34,63.95,1699913.0
2011-04-03,59.85,60.23,59.42,59.74,1546800.0
2011-03-27,60.05,60.61,59.23,59.52,1561813.0
2011-03-20,56.5,57.06,56.08,56.66,2064553.0
2011-03-13,56.33,58.24,56.13,57.82,1396361.0
2011-03-06,60.07,60.84,60.07,60.4,1332280.0
2011-02-27,58.22,58.95,58.18,58.95,1061861.0
2011-02-20,58.15,58.45,57.78,58.98,0.0
2011-02-13,56.09,56.69,55.51,55.73,1623289.0
2011-02-06,56.93,57.03,55.98,56.11,1828160.0
2011-01-30,53.47,55.31,53.27,54.2,13556645.0
2011-01-23,54.41,54.96,53.9,53.94,16706948.0
2011-01-16,58.15,58.15,55.69,54.88,0.0
2011-01-09,56.47,57.71,56.4,56.74,11029281.0
2011-01-02,61.12,61.74,60.96,61.47,4461572.0
2010-12-26,60.54,60.59,59.81,59.89,0.0
2010-12-19,60.31,60.46,59.4,60.44,11318432.0
2010-12-12,61.1,61.83,60.6,61.66,7446869.0
2010-12-05,61.8,63.14,61.74,62.71,10234774.0
2010-11-28,58.36,58.85,58.26,58.61,3884740.0
2010-11-21,58.68,59.41,58.35,59.28,7656175.0
2010-11-14,60.51,61.42,59.36,60.07,13212627.0
2010-11-07,59.67,60.85,59.56,60.09,10178091.0
2010-10-31,56.72,57.49,56.52,57.3,8513670.0
2010-10-24,54.35,54.89,53.84,54.89,7662121.0
2010-10-17,57.87,58.08,56.92,57.41,11031993.0
2010-10-10,56.64,57.46,56.61,57.3,8792797.0
2010-10-03,56.45,57.25,55.93,56.6,9595638.0
2010-09-26,56.62,56.62,55.49,55.67,9569479.0
2010-09-19,55.73,55.77,54.68,54.78,8984576.0
2010-09-12,52.47,53.48,52.43,53.04,5493277.0
2010-09-05,53.46,53.78,52.81,53.69,0.0
2010-08-29,52.81,53.46,51.98,53.34,9828075.0
